transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
397,1970-05-08 11:48:00,,5233.0,133.0,27,Unknown,8.0
397,1970-05-08 11:48:00,,3663.0,24.0,27,Unknown,2.8
397,1970-05-08 11:48:00,,5432.0,44.0,27,Unknown,2.5
397,1970-05-08 11:48:00,,3218.0,101.0,27,Unknown,7.5
2945,1970-03-08 12:34:00,,1842.0,41.0,35,Unknown,27.7
2945,1970-03-08 12:34:00,,867.0,109.0,35,Unknown,11.9
3138,1970-03-08 13:19:00,,843.0,69.0,35,Unknown,3.4
3138,1970-03-08 13:19:00,,1209.0,109.0,35,Unknown,12.49
8555,1970-10-20 10:59:00,156049.0,2491.0,44.0,36,47.0,4.41
8555,1970-10-20 10:59:00,156049.0,5774.0,136.0,36,47.0,18.45
9976,1970-09-15 09:39:00,,5410.0,140.0,11,71.0,6.5
10955,1970-07-13 18:47:00,,4050.0,71.0,29,Unknown,3.4
10955,1970-07-13 18:47:00,,4052.0,71.0,29,Unknown,4.8
16484,1973-05-29 13:19:00,,8468.0,101.0,1,2.0,8.0
17782,1970-09-24 11:52:00,,4075.0,92.0,7,57.0,21.7
18175,1970-07-03 16:45:00,,3988.0,71.0,21,Unknown,13.95
18517,1970-10-19 14:52:00,,5535.0,140.0,30,81.0,21.0
18517,1970-10-19 14:52:00,,4552.0,146.0,30,81.0,29.8
18517,1970-10-19 14:52:00,,5587.0,101.0,30,81.0,25.6
19166,1970-01-04 18:02:00,,1910.0,48.0,3,Unknown,12.0
19166,1970-01-04 18:02:00,,8629.0,173.0,3,Unknown,7.0
20130,1970-10-21 16:54:00,,1160.0,92.0,36,129.0,15.2
20713,1970-09-24 18:37:00,,5591.0,40.0,16,42.0,10.92
20713,1970-09-24 18:37:00,,6996.0,40.0,16,42.0,4.08
23563,1971-12-10 13:19:00,,6213.0,99.0,38,27.0,13.5
24378,1971-11-02 15:58:00,30939.0,6973.0,91.0,38,142.0,10.4
26142,1970-08-14 11:50:00,,1665.0,92.0,1,Unknown,18.5
26142,1970-08-14 11:50:00,,3959.0,92.0,1,Unknown,18.5
35190,1970-09-11 14:48:00,,5559.0,140.0,21,147.0,4.0
35190,1970-09-11 14:48:00,,5538.0,140.0,21,147.0,4.0
37229,1970-11-12 15:30:00,,6995.0,40.0,1,34.0,6.8
42374,1970-06-04 11:49:00,,5534.0,44.0,5,Unknown,1.0
42374,1970-06-04 11:49:00,,1760.0,71.0,5,Unknown,4.8
42374,1970-06-04 11:49:00,,1759.0,71.0,5,Unknown,3.4
42374,1970-06-04 11:49:00,,1038.0,110.0,5,Unknown,5.0
45415,1970-02-25 20:42:00,,4363.0,127.0,11,Unknown,10.0
45415,1970-02-25 20:42:00,,2952.0,75.0,11,Unknown,16.5
46993,1970-03-16 20:22:00,,4437.0,71.0,8,Unknown,7.0
46993,1970-03-16 20:22:00,,8629.0,173.0,8,Unknown,10.0
49099,1970-05-27 10:31:00,,2822.0,144.0,33,132.0,10.5
49099,1970-05-27 10:31:00,,3950.0,134.0,33,132.0,8.5
49099,1970-05-27 10:31:00,,1013.0,110.0,33,132.0,5.0
49246,1970-10-07 13:06:00,22657.0,1142.0,92.0,15,1.0,15.2
49246,1970-10-07 13:06:00,22657.0,5133.0,131.0,15,1.0,13.4
53423,1970-03-08 12:02:00,,846.0,68.0,16,Unknown,16.0
54996,1971-11-06 14:49:00,,3280.0,71.0,36,207.0,3.5
54996,1971-11-06 14:49:00,,3281.0,71.0,36,207.0,3.5
54996,1971-11-06 14:49:00,,4325.0,71.0,36,207.0,1.0
55815,1970-10-30 13:14:00,,5315.0,146.0,4,117.0,15.4
56141,1970-09-06 14:16:00,,2194.0,49.0,28,62.0,13.9
56593,1970-10-02 14:41:00,,2971.0,140.0,7,165.0,11.3
64097,1970-09-15 09:27:00,,5481.0,163.0,22,Unknown,13.2
64097,1970-09-15 09:27:00,,5993.0,134.0,22,Unknown,10.9
67694,1970-03-19 16:48:00,,832.0,68.0,35,Unknown,16.5
67997,1970-11-26 15:34:00,,7103.0,148.0,32,30.0,5.0
67997,1970-11-26 15:34:00,,5765.0,36.0,32,30.0,30.0
70341,1970-06-03 13:51:00,,3983.0,75.0,11,Unknown,13.0
